serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,329,84,0,25060,94208,6.3536026E9,388848,1934,363179,25144,525,0.06601292
agent2,332,89,0,23883,94208,6.4844058E9,388662,2240,363994,23972,696,0.06346905
agent3,333,78,0,25117,94208,6.2383355E9,389123,2121,363577,25195,351,0.065650165
agent4,332,83,0,24199,94208,6.3142513E9,389318,1712,364256,24282,780,0.06437409
agent5,321,103,0,22582,94208,6.249876E9,388464,2266,365449,22685,330,0.059246182
agent6,326,86,0,24028,94208,6.3235338E9,388922,2357,364256,24114,552,0.06342143
agent7,327,91,0,23902,94208,6.3578604E9,389298,2019,364994,23993,311,0.062430322
agent8,337,86,0,23958,94208,6.3251564E9,389192,1811,364675,24044,473,0.0629946
overall,2637,700,0,192729,753664,5.0647015E10,3111827,16460,2914380,193429,4018,0.063450515
